"Starting coordinates: [-66.16498947143556, 45.30640634669566]"
"Ending coordinates: [-66.13752365112306, 45.292641220997034]"

PNumber,Lat,Lon,Depth
57,-66.1617870759,45.3051968794,-7.94343566895
58,-66.1617308948,45.3051756598,-7.92668962479
59,-66.1616747137,45.3051544403,-7.93465089798
60,-66.1616185326,45.3051332207,-7.91802501678
61,-66.1615623516,45.3051120011,-7.91127872467
62,-66.1615061706,45.3050907814,-7.93899679184
63,-66.1614499897,45.3050695617,-7.91440200806
64,-66.1613938088,45.305048342,-7.87283802032
65,-66.161337628,45.3050271223,-7.89696788788
66,-66.1612814471,45.3050059026,-7.90999984741
67,-66.1612252664,45.3049846828,-7.91986608505
68,-66.1611690857,45.304963463,-7.87713432312
69,-66.161112905,45.3049422431,-7.90012121201
70,-66.1610567243,45.3049210233,-7.90500020981
71,-66.1610005437,45.3048998034,-7.88844680786
72,-66.1609443632,45.3048785834,-7.97480678558
73,-66.1608881827,45.3048573635,-8.01799964905
74,-66.1608320022,45.3048361435,-8.08562660217
75,-66.1607758218,45.3048149235,-8.05388450623
76,-66.1607196414,45.3047937035,-8.02131080627
77,-66.1606634611,45.3047724834,-8.07800006866
78,-66.1606072808,45.3047512633,-8.07553577423
79,-66.1605511005,45.3047300432,-8.09622573853
80,-66.1604949203,45.3047088231,-8.0579996109
81,-66.1604387401,45.3046876029,-8.04800033569
82,-66.16038256,45.3046663827,-8.30550003052
83,-66.1603263799,45.3046451624,-8.1895904541
84,-66.1602701999,45.3046239422,-8.33550071716
85,-66.1602140199,45.3046027219,-8.18739318848
86,-66.1601578399,45.3045815016,-8.14799976349
87,-66.16010166,45.3045602812,-8.1800365448
88,-66.1600454801,45.3045390609,-8.30548000336
89,-66.1599893003,45.3045178405,-8.21563339233
90,-66.1599331205,45.3044966201,-8.1402015686
91,-66.1598769407,45.3044753996,-8.30749225616
92,-66.159820761,45.3044541791,-8.24100017548
93,-66.1597645814,45.3044329586,-8.27795696259
94,-66.1597084017,45.3044117381,-8.36068058014
95,-66.1596522222,45.3043905175,-8.45899963379
96,-66.1595960426,45.3043692969,-8.48392009735
97,-66.1595398631,45.3043480763,-8.52815246582
98,-66.1594836837,45.3043268557,-8.58364486694
99,-66.1594275043,45.304305635,-8.6281709671
100,-66.1593713249,45.3042844143,-8.67811203003
101,-66.1593151456,45.3042631936,-8.80754089355
102,-66.1592589663,45.3042419728,-8.85432529449
103,-66.1592027871,45.304220752,-9.03135585785
104,-66.1591466079,45.3041995312,-9.11170768738
105,-66.1590904287,45.3041783103,-9.06767749786
106,-66.1590342496,45.3041570895,-9.06476974487
107,-66.1589780705,45.3041358686,-8.88524436951
108,-66.1589218915,45.3041146477,-9.07576751709
109,-66.1588657125,45.3040934267,-8.95910549164
110,-66.1588095336,45.3040722057,-8.93899345398
111,-66.1587533547,45.3040509847,-8.81342601776
112,-66.1586971758,45.3040297637,-8.49178695679
113,-66.158640997,45.3040085426,-8.69203662872
114,-66.1585848182,45.3039873215,-8.36231708527
115,-66.1585286395,45.3039661004,-8.2611207962
116,-66.1584724608,45.3039448792,-8.2388677597
117,-66.1584162822,45.3039236581,-8.23408699036
118,-66.1583601036,45.3039024369,-8.07760620117
119,-66.158303925,45.3038812156,-8.01083755493
120,-66.1582477465,45.3038599944,-7.74990510941
121,-66.158191568,45.3038387731,-7.75922346115
122,-66.1581353896,45.3038175518,-7.62837314606
123,-66.1580792112,45.3037963304,-7.50322914124
124,-66.1580230328,45.3037751091,-7.38100004196
125,-66.1579668545,45.3037538877,-7.28594493866
126,-66.1579106763,45.3037326662,-7.24184417725
127,-66.1578544981,45.3037114448,-7.14813232422
128,-66.1577983199,45.3036902233,-7.03506755829
129,-66.1577421417,45.3036690018,-6.98783302307
